Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,0.00
5.33,0.00
5.50,30.00
5.67,20.00
5.83,60.00
6.00,50.00
6.17,110.00
6.33,70.00
6.50,190.00
6.67,280.00
6.83,260.00
7.00,200.00
7.17,200.00
7.33,480.00
7.50,390.00
7.67,650.00
7.83,430.00
8.00,780.00
8.17,610.00
8.33,1070.00
8.50,1270.00
8.67,500.00
8.83,500.00
9.00,500.00
9.17,380.00
9.33,310.00
9.50,150.00
9.67,350.00
9.83,290.00
10.00,50.00
10.17,10.00
10.33,40.00
10.50,40.00
10.67,30.00
10.83,30.00
11.00,10.00
11.17,10.00
11.33,30.00
11.50,10.00
11.67,10.00
11.83,20.00
12.00,20.00
12.17,10.00
12.33,30.00
12.50,30.00
12.67,10.00
12.83,30.00
13.00,10.00
13.17,40.00
13.33,60.00
13.50,30.00
13.67,40.00
13.83,50.00
14.00,20.00
14.17,20.00
14.33,70.00
14.50,370.00
14.67,360.00
14.83,240.00
15.00,380.00
15.17,140.00
15.33,440.00
15.50,270.00
15.67,510.00
15.83,350.00
16.00,550.00
16.17,420.00
16.33,320.00
16.50,320.00
16.67,410.00
16.83,330.00
17.00,370.00
17.17,440.00
17.33,390.00
17.50,640.00
17.67,420.00
17.83,430.00
18.00,280.00
18.17,340.00
18.33,210.00
18.50,230.00
18.67,260.00
18.83,140.00
19.00,140.00
19.17,70.00
19.33,140.00
19.50,50.00
19.67,60.00
19.83,30.00
20.00,20.00
20.17,0.00
20.33,0.00
20.50,50.00
20.67,50.00
20.83,0.00
21.00,10.00
21.17,10.00
21.33,0.00
21.50,10.00
21.67,10.00
21.83,0.00
22.00,10.00
22.17,10.00
22.33,0.00
22.50,10.00
22.67,0.00
22.83,0.00
23.00,0.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
