Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,20.00
5.00,10.00
5.17,0.00
5.33,50.00
5.50,90.00
5.67,0.00
5.83,50.00
6.00,100.00
6.17,140.00
6.33,280.00
6.50,150.00
6.67,300.00
6.83,490.00
7.00,390.00
7.17,700.00
7.33,760.00
7.50,920.00
7.67,1360.00
7.83,1230.00
8.00,1700.00
8.17,1500.00
8.33,2030.00
8.50,1530.00
8.67,1410.00
8.83,790.00
9.00,800.00
9.17,460.00
9.33,370.00
9.50,670.00
9.67,260.00
9.83,350.00
10.00,560.00
10.17,170.00
10.33,430.00
10.50,350.00
10.67,290.00
10.83,390.00
11.00,280.00
11.17,280.00
11.33,450.00
11.50,390.00
11.67,300.00
11.83,390.00
12.00,410.00
12.17,300.00
12.33,450.00
12.50,410.00
12.67,340.00
12.83,510.00
13.00,360.00
13.17,360.00
13.33,790.00
13.50,340.00
13.67,360.00
13.83,740.00
14.00,390.00
14.17,360.00
14.33,860.00
14.50,430.00
14.67,260.00
14.83,720.00
15.00,470.00
15.17,260.00
15.33,930.00
15.50,760.00
15.67,960.00
15.83,890.00
16.00,1060.00
16.17,1250.00
16.33,1010.00
16.50,1030.00
16.67,1260.00
16.83,1330.00
17.00,1130.00
17.17,1780.00
17.33,2100.00
17.50,1590.00
17.67,1810.00
17.83,1740.00
18.00,1290.00
18.17,1130.00
18.33,1000.00
18.50,810.00
18.67,720.00
18.83,370.00
19.00,390.00
19.17,430.00
19.33,470.00
19.50,250.00
19.67,130.00
19.83,150.00
20.00,40.00
20.17,300.00
20.33,90.00
20.50,80.00
20.67,160.00
20.83,70.00
21.00,50.00
21.17,260.00
21.33,140.00
21.50,100.00
21.67,90.00
21.83,120.00
22.00,30.00
22.17,190.00
22.33,70.00
22.50,70.00
22.67,50.00
22.83,80.00
23.00,10.00
23.17,120.00
23.33,50.00
23.50,40.00
23.67,20.00
23.83,80.00
