Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,10.00
4.67,0.00
4.83,20.00
5.00,30.00
5.17,70.00
5.33,50.00
5.50,130.00
5.67,110.00
5.83,240.00
6.00,260.00
6.17,350.00
6.33,390.00
6.50,670.00
6.67,540.00
6.83,1010.00
7.00,860.00
7.17,1120.00
7.33,1230.00
7.50,1760.00
7.67,2130.00
7.83,2530.00
8.00,2500.00
8.17,2610.00
8.33,2680.00
8.50,2640.00
8.67,2250.00
8.83,1940.00
9.00,1550.00
9.17,980.00
9.33,980.00
9.50,800.00
9.67,690.00
9.83,590.00
10.00,730.00
10.17,550.00
10.33,570.00
10.50,370.00
10.67,620.00
10.83,270.00
11.00,630.00
11.17,320.00
11.33,600.00
11.50,330.00
11.67,660.00
11.83,330.00
12.00,630.00
12.17,380.00
12.33,710.00
12.50,340.00
12.67,720.00
12.83,380.00
13.00,620.00
13.17,570.00
13.33,540.00
13.50,550.00
13.67,650.00
13.83,550.00
14.00,660.00
14.17,630.00
14.33,750.00
14.50,630.00
14.67,680.00
14.83,600.00
15.00,730.00
15.17,800.00
15.33,1440.00
15.50,1060.00
15.67,1220.00
15.83,1010.00
16.00,1130.00
16.17,1450.00
16.33,1440.00
16.50,1390.00
16.67,1570.00
16.83,1770.00
17.00,1680.00
17.17,2320.00
17.33,2160.00
17.50,2060.00
17.67,2230.00
17.83,1880.00
18.00,1760.00
18.17,1790.00
18.33,1180.00
18.50,1230.00
18.67,880.00
18.83,670.00
19.00,420.00
19.17,540.00
19.33,380.00
19.50,350.00
19.67,200.00
19.83,350.00
20.00,170.00
20.17,140.00
20.33,300.00
20.50,170.00
20.67,90.00
20.83,280.00
21.00,130.00
21.17,140.00
21.33,370.00
21.50,180.00
21.67,120.00
21.83,340.00
22.00,170.00
22.17,130.00
22.33,360.00
22.50,130.00
22.67,140.00
22.83,210.00
23.00,60.00
23.17,80.00
23.33,140.00
23.50,50.00
23.67,30.00
23.83,200.00
