Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,20.00
4.67,0.00
4.83,50.00
5.00,30.00
5.17,90.00
5.33,50.00
5.50,170.00
5.67,110.00
5.83,260.00
6.00,220.00
6.17,340.00
6.33,430.00
6.50,400.00
6.67,620.00
6.83,740.00
7.00,750.00
7.17,1100.00
7.33,1040.00
7.50,1420.00
7.67,1880.00
7.83,1450.00
8.00,1790.00
8.17,2050.00
8.33,2080.00
8.50,1810.00
8.67,1990.00
8.83,1510.00
9.00,1450.00
9.17,980.00
9.33,920.00
9.50,930.00
9.67,660.00
9.83,720.00
10.00,590.00
10.17,650.00
10.33,470.00
10.50,550.00
10.67,430.00
10.83,530.00
11.00,470.00
11.17,600.00
11.33,540.00
11.50,610.00
11.67,580.00
11.83,620.00
12.00,540.00
12.17,680.00
12.33,520.00
12.50,650.00
12.67,590.00
12.83,600.00
13.00,500.00
13.17,370.00
13.33,550.00
13.50,290.00
13.67,400.00
13.83,550.00
14.00,340.00
14.17,470.00
14.33,470.00
14.50,340.00
14.67,510.00
14.83,590.00
15.00,960.00
15.17,910.00
15.33,1250.00
15.50,1140.00
15.67,1600.00
15.83,1150.00
16.00,1260.00
16.17,790.00
16.33,690.00
16.50,1190.00
16.67,1450.00
16.83,1740.00
17.00,1490.00
17.17,1760.00
17.33,1950.00
17.50,1770.00
17.67,1650.00
17.83,1750.00
18.00,1710.00
18.17,1380.00
18.33,1950.00
18.50,1040.00
18.67,1020.00
18.83,1130.00
19.00,500.00
19.17,890.00
19.33,460.00
19.50,820.00
19.67,280.00
19.83,560.00
20.00,270.00
20.17,540.00
20.33,270.00
20.50,390.00
20.67,250.00
20.83,460.00
21.00,210.00
21.17,270.00
21.33,170.00
21.50,290.00
21.67,100.00
21.83,60.00
22.00,50.00
22.17,0.00
22.33,20.00
22.50,40.00
22.67,20.00
22.83,40.00
23.00,20.00
23.17,30.00
23.33,0.00
23.50,30.00
23.67,0.00
23.83,10.00
