Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,10.00
4.50,10.00
4.67,0.00
4.83,0.00
5.00,20.00
5.17,20.00
5.33,20.00
5.50,10.00
5.67,50.00
5.83,60.00
6.00,40.00
6.17,20.00
6.33,40.00
6.50,50.00
6.67,60.00
6.83,40.00
7.00,170.00
7.17,60.00
7.33,70.00
7.50,120.00
7.67,90.00
7.83,70.00
8.00,70.00
8.17,200.00
8.33,140.00
8.50,80.00
8.67,230.00
8.83,50.00
9.00,80.00
9.17,30.00
9.33,140.00
9.50,70.00
9.67,60.00
9.83,10.00
10.00,80.00
10.17,80.00
10.33,60.00
10.50,30.00
10.67,110.00
10.83,30.00
11.00,50.00
11.17,40.00
11.33,30.00
11.50,60.00
11.67,80.00
11.83,20.00
12.00,30.00
12.17,30.00
12.33,40.00
12.50,50.00
12.67,50.00
12.83,20.00
13.00,70.00
13.17,30.00
13.33,60.00
13.50,50.00
13.67,80.00
13.83,10.00
14.00,50.00
14.17,50.00
14.33,50.00
14.50,60.00
14.67,70.00
14.83,10.00
15.00,40.00
15.17,80.00
15.33,90.00
15.50,140.00
15.67,90.00
15.83,120.00
16.00,60.00
16.17,50.00
16.33,150.00
16.50,80.00
16.67,90.00
16.83,60.00
17.00,160.00
17.17,100.00
17.33,50.00
17.50,60.00
17.67,70.00
17.83,120.00
18.00,80.00
18.17,40.00
18.33,10.00
18.50,40.00
18.67,100.00
18.83,80.00
19.00,70.00
19.17,30.00
19.33,0.00
19.50,30.00
19.67,30.00
19.83,10.00
20.00,0.00
20.17,10.00
20.33,40.00
20.50,30.00
20.67,0.00
20.83,0.00
21.00,10.00
21.17,10.00
21.33,0.00
21.50,0.00
21.67,0.00
21.83,0.00
22.00,10.00
22.17,0.00
22.33,0.00
22.50,0.00
22.67,0.00
22.83,10.00
23.00,10.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
