Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,0.00
5.33,0.00
5.50,0.00
5.67,0.00
5.83,0.00
6.00,0.00
6.17,0.00
6.33,0.00
6.50,0.00
6.67,0.00
6.83,0.00
7.00,0.00
7.17,0.00
7.33,0.00
7.50,0.00
7.67,0.00
7.83,0.00
8.00,0.00
8.17,0.00
8.33,20.00
8.50,30.00
8.67,0.00
8.83,80.00
9.00,0.00
9.17,0.00
9.33,0.00
9.50,0.00
9.67,0.00
9.83,0.00
10.00,0.00
10.17,0.00
10.33,0.00
10.50,0.00
10.67,0.00
10.83,0.00
11.00,0.00
11.17,0.00
11.33,0.00
11.50,0.00
11.67,0.00
11.83,0.00
12.00,0.00
12.17,0.00
12.33,0.00
12.50,0.00
12.67,0.00
12.83,0.00
13.00,0.00
13.17,0.00
13.33,0.00
13.50,0.00
13.67,0.00
13.83,0.00
14.00,0.00
14.17,0.00
14.33,0.00
14.50,0.00
14.67,0.00
14.83,0.00
15.00,0.00
15.17,0.00
15.33,0.00
15.50,0.00
15.67,0.00
15.83,0.00
16.00,0.00
16.17,0.00
16.33,0.00
16.50,0.00
16.67,0.00
16.83,0.00
17.00,40.00
17.17,0.00
17.33,0.00
17.50,0.00
17.67,30.00
17.83,30.00
18.00,0.00
18.17,0.00
18.33,0.00
18.50,0.00
18.67,0.00
18.83,0.00
19.00,0.00
19.17,0.00
19.33,0.00
19.50,0.00
19.67,0.00
19.83,0.00
20.00,0.00
20.17,0.00
20.33,0.00
20.50,0.00
20.67,0.00
20.83,0.00
21.00,0.00
21.17,0.00
21.33,0.00
21.50,0.00
21.67,0.00
21.83,0.00
22.00,0.00
22.17,0.00
22.33,0.00
22.50,0.00
22.67,0.00
22.83,0.00
23.00,0.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
