Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,10.00
5.00,0.00
5.17,10.00
5.33,0.00
5.50,10.00
5.67,10.00
5.83,20.00
6.00,30.00
6.17,40.00
6.33,20.00
6.50,50.00
6.67,80.00
6.83,20.00
7.00,40.00
7.17,50.00
7.33,20.00
7.50,20.00
7.67,30.00
7.83,60.00
8.00,100.00
8.17,170.00
8.33,230.00
8.50,380.00
8.67,230.00
8.83,130.00
9.00,120.00
9.17,60.00
9.33,70.00
9.50,80.00
9.67,70.00
9.83,70.00
10.00,60.00
10.17,90.00
10.33,80.00
10.50,100.00
10.67,100.00
10.83,60.00
11.00,100.00
11.17,130.00
11.33,100.00
11.50,70.00
11.67,110.00
11.83,90.00
12.00,60.00
12.17,70.00
12.33,140.00
12.50,90.00
12.67,160.00
12.83,120.00
13.00,100.00
13.17,110.00
13.33,80.00
13.50,80.00
13.67,100.00
13.83,110.00
14.00,150.00
14.17,100.00
14.33,100.00
14.50,170.00
14.67,140.00
14.83,160.00
15.00,120.00
15.17,120.00
15.33,310.00
15.50,720.00
15.67,650.00
15.83,450.00
16.00,250.00
16.17,210.00
16.33,160.00
16.50,190.00
16.67,190.00
16.83,150.00
17.00,110.00
17.17,150.00
17.33,170.00
17.50,120.00
17.67,80.00
17.83,190.00
18.00,120.00
18.17,150.00
18.33,90.00
18.50,80.00
18.67,90.00
18.83,40.00
19.00,40.00
19.17,20.00
19.33,20.00
19.50,40.00
19.67,10.00
19.83,0.00
20.00,10.00
20.17,0.00
20.33,20.00
20.50,0.00
20.67,10.00
20.83,10.00
21.00,20.00
21.17,0.00
21.33,20.00
21.50,0.00
21.67,20.00
21.83,10.00
22.00,20.00
22.17,0.00
22.33,10.00
22.50,0.00
22.67,10.00
22.83,10.00
23.00,10.00
23.17,0.00
23.33,10.00
23.50,0.00
23.67,0.00
23.83,10.00
