Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,10.00
5.17,0.00
5.33,10.00
5.50,60.00
5.67,50.00
5.83,10.00
6.00,160.00
6.17,60.00
6.33,130.00
6.50,230.00
6.67,210.00
6.83,290.00
7.00,460.00
7.17,490.00
7.33,480.00
7.50,730.00
7.67,970.00
7.83,1570.00
8.00,1530.00
8.17,1610.00
8.33,1970.00
8.50,1510.00
8.67,1670.00
8.83,1190.00
9.00,950.00
9.17,640.00
9.33,580.00
9.50,490.00
9.67,340.00
9.83,470.00
10.00,390.00
10.17,270.00
10.33,380.00
10.50,240.00
10.67,270.00
10.83,350.00
11.00,250.00
11.17,180.00
11.33,260.00
11.50,200.00
11.67,200.00
11.83,300.00
12.00,210.00
12.17,220.00
12.33,390.00
12.50,300.00
12.67,270.00
12.83,390.00
13.00,230.00
13.17,410.00
13.33,680.00
13.50,490.00
13.67,600.00
13.83,730.00
14.00,490.00
14.17,590.00
14.33,690.00
14.50,470.00
14.67,530.00
14.83,580.00
15.00,480.00
15.17,540.00
15.33,710.00
15.50,710.00
15.67,1050.00
15.83,660.00
16.00,780.00
16.17,770.00
16.33,1160.00
16.50,990.00
16.67,1040.00
16.83,1130.00
17.00,1050.00
17.17,1230.00
17.33,1850.00
17.50,1770.00
17.67,1850.00
17.83,1890.00
18.00,1240.00
18.17,1080.00
18.33,930.00
18.50,930.00
18.67,650.00
18.83,700.00
19.00,390.00
19.17,400.00
19.33,380.00
19.50,210.00
19.67,220.00
19.83,150.00
20.00,140.00
20.17,230.00
20.33,30.00
20.50,220.00
20.67,270.00
20.83,40.00
21.00,230.00
21.17,250.00
21.33,30.00
21.50,200.00
21.67,210.00
21.83,30.00
22.00,220.00
22.17,180.00
22.33,10.00
22.50,190.00
22.67,140.00
22.83,10.00
23.00,110.00
23.17,80.00
23.33,0.00
23.50,70.00
23.67,70.00
23.83,100.00
