Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,10.00
5.17,0.00
5.33,30.00
5.50,30.00
5.67,120.00
5.83,90.00
6.00,220.00
6.17,230.00
6.33,290.00
6.50,430.00
6.67,440.00
6.83,560.00
7.00,730.00
7.17,920.00
7.33,1120.00
7.50,1220.00
7.67,1900.00
7.83,1950.00
8.00,2440.00
8.17,1980.00
8.33,2660.00
8.50,2170.00
8.67,1840.00
8.83,1680.00
9.00,1050.00
9.17,960.00
9.33,810.00
9.50,550.00
9.67,250.00
9.83,260.00
10.00,310.00
10.17,270.00
10.33,440.00
10.50,380.00
10.67,270.00
10.83,340.00
11.00,350.00
11.17,310.00
11.33,390.00
11.50,320.00
11.67,370.00
11.83,380.00
12.00,310.00
12.17,340.00
12.33,350.00
12.50,390.00
12.67,420.00
12.83,360.00
13.00,460.00
13.17,420.00
13.33,420.00
13.50,300.00
13.67,320.00
13.83,250.00
14.00,370.00
14.17,380.00
14.33,470.00
14.50,380.00
14.67,390.00
14.83,330.00
15.00,470.00
15.17,600.00
15.33,470.00
15.50,900.00
15.67,1310.00
15.83,1160.00
16.00,1010.00
16.17,800.00
16.33,860.00
16.50,990.00
16.67,1100.00
16.83,1180.00
17.00,1170.00
17.17,1410.00
17.33,1280.00
17.50,1730.00
17.67,1300.00
17.83,1340.00
18.00,1250.00
18.17,1150.00
18.33,870.00
18.50,780.00
18.67,490.00
18.83,460.00
19.00,380.00
19.17,220.00
19.33,240.00
19.50,140.00
19.67,190.00
19.83,150.00
20.00,160.00
20.17,140.00
20.33,240.00
20.50,130.00
20.67,110.00
20.83,140.00
21.00,160.00
21.17,100.00
21.33,110.00
21.50,130.00
21.67,90.00
21.83,120.00
22.00,80.00
22.17,80.00
22.33,70.00
22.50,60.00
22.67,50.00
22.83,80.00
23.00,30.00
23.17,40.00
23.33,20.00
23.50,10.00
23.67,10.00
23.83,70.00
