Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,10.00
5.00,10.00
5.17,40.00
5.33,40.00
5.50,80.00
5.67,60.00
5.83,130.00
6.00,190.00
6.17,220.00
6.33,250.00
6.50,550.00
6.67,560.00
6.83,470.00
7.00,930.00
7.17,940.00
7.33,930.00
7.50,1450.00
7.67,1680.00
7.83,2440.00
8.00,2820.00
8.17,2700.00
8.33,2840.00
8.50,2510.00
8.67,2440.00
8.83,2870.00
9.00,1890.00
9.17,1500.00
9.33,1410.00
9.50,1010.00
9.67,980.00
9.83,770.00
10.00,680.00
10.17,900.00
10.33,650.00
10.50,720.00
10.67,850.00
10.83,600.00
11.00,680.00
11.17,670.00
11.33,510.00
11.50,660.00
11.67,740.00
11.83,510.00
12.00,890.00
12.17,700.00
12.33,550.00
12.50,750.00
12.67,750.00
12.83,410.00
13.00,610.00
13.17,480.00
13.33,340.00
13.50,720.00
13.67,530.00
13.83,370.00
14.00,750.00
14.17,510.00
14.33,340.00
14.50,570.00
14.67,760.00
14.83,380.00
15.00,700.00
15.17,1300.00
15.33,1150.00
15.50,1720.00
15.67,1510.00
15.83,1300.00
16.00,1350.00
16.17,1280.00
16.33,1290.00
16.50,1300.00
16.67,1520.00
16.83,1600.00
17.00,2050.00
17.17,2700.00
17.33,2350.00
17.50,2580.00
17.67,2240.00
17.83,1650.00
18.00,1770.00
18.17,1520.00
18.33,1090.00
18.50,770.00
18.67,1090.00
18.83,630.00
19.00,490.00
19.17,360.00
19.33,390.00
19.50,150.00
19.67,370.00
19.83,350.00
20.00,280.00
20.17,240.00
20.33,250.00
20.50,340.00
20.67,260.00
20.83,210.00
21.00,260.00
21.17,120.00
21.33,210.00
21.50,240.00
21.67,280.00
21.83,190.00
22.00,220.00
22.17,120.00
22.33,140.00
22.50,30.00
22.67,190.00
22.83,70.00
23.00,70.00
23.17,40.00
23.33,50.00
23.50,0.00
23.67,80.00
23.83,100.00
