Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,20.00
5.00,40.00
5.17,20.00
5.33,80.00
5.50,50.00
5.67,150.00
5.83,130.00
6.00,220.00
6.17,250.00
6.33,310.00
6.50,510.00
6.67,540.00
6.83,650.00
7.00,670.00
7.17,920.00
7.33,1120.00
7.50,1560.00
7.67,2020.00
7.83,2510.00
8.00,2560.00
8.17,2900.00
8.33,3730.00
8.50,3060.00
8.67,2490.00
8.83,2070.00
9.00,2140.00
9.17,1220.00
9.33,1160.00
9.50,840.00
9.67,1080.00
9.83,710.00
10.00,460.00
10.17,340.00
10.33,490.00
10.50,310.00
10.67,400.00
10.83,380.00
11.00,500.00
11.17,420.00
11.33,430.00
11.50,420.00
11.67,420.00
11.83,460.00
12.00,480.00
12.17,420.00
12.33,490.00
12.50,540.00
12.67,530.00
12.83,510.00
13.00,500.00
13.17,420.00
13.33,540.00
13.50,480.00
13.67,510.00
13.83,550.00
14.00,480.00
14.17,440.00
14.33,440.00
14.50,550.00
14.67,510.00
14.83,610.00
15.00,640.00
15.17,820.00
15.33,1140.00
15.50,1270.00
15.67,1020.00
15.83,1140.00
16.00,960.00
16.17,1100.00
16.33,1330.00
16.50,1270.00
16.67,1420.00
16.83,1340.00
17.00,1190.00
17.17,1770.00
17.33,2090.00
17.50,1620.00
17.67,2020.00
17.83,1510.00
18.00,1460.00
18.17,1350.00
18.33,1060.00
18.50,940.00
18.67,890.00
18.83,490.00
19.00,480.00
19.17,400.00
19.33,340.00
19.50,320.00
19.67,290.00
19.83,220.00
20.00,160.00
20.17,280.00
20.33,90.00
20.50,180.00
20.67,80.00
20.83,60.00
21.00,90.00
21.17,40.00
21.33,60.00
21.50,110.00
21.67,40.00
21.83,70.00
22.00,90.00
22.17,40.00
22.33,50.00
22.50,90.00
22.67,20.00
22.83,50.00
23.00,40.00
23.17,10.00
23.33,30.00
23.50,30.00
23.67,10.00
23.83,40.00
