Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,20.00
5.33,40.00
5.50,20.00
5.67,50.00
5.83,40.00
6.00,30.00
6.17,130.00
6.33,110.00
6.50,120.00
6.67,170.00
6.83,180.00
7.00,160.00
7.17,350.00
7.33,170.00
7.50,200.00
7.67,50.00
7.83,450.00
8.00,70.00
8.17,240.00
8.33,170.00
8.50,290.00
8.67,220.00
8.83,30.00
9.00,70.00
9.17,250.00
9.33,70.00
9.50,40.00
9.67,70.00
9.83,210.00
10.00,0.00
10.17,160.00
10.33,10.00
10.50,210.00
10.67,120.00
10.83,70.00
11.00,80.00
11.17,160.00
11.33,10.00
11.50,60.00
11.67,40.00
11.83,30.00
12.00,110.00
12.17,90.00
12.33,30.00
12.50,220.00
12.67,20.00
12.83,50.00
13.00,40.00
13.17,160.00
13.33,60.00
13.50,190.00
13.67,20.00
13.83,60.00
14.00,50.00
14.17,160.00
14.33,50.00
14.50,200.00
14.67,60.00
14.83,70.00
15.00,50.00
15.17,330.00
15.33,30.00
15.50,160.00
15.67,80.00
15.83,90.00
16.00,140.00
16.17,360.00
16.33,90.00
16.50,380.00
16.67,140.00
16.83,200.00
17.00,270.00
17.17,170.00
17.33,110.00
17.50,380.00
17.67,100.00
17.83,210.00
18.00,130.00
18.17,140.00
18.33,140.00
18.50,160.00
18.67,110.00
18.83,60.00
19.00,70.00
19.17,70.00
19.33,50.00
19.50,50.00
19.67,50.00
19.83,70.00
20.00,10.00
20.17,0.00
20.33,10.00
20.50,20.00
20.67,20.00
20.83,0.00
21.00,20.00
21.17,50.00
21.33,60.00
21.50,10.00
21.67,30.00
21.83,20.00
22.00,30.00
22.17,0.00
22.33,0.00
22.50,20.00
22.67,0.00
22.83,0.00
23.00,30.00
23.17,0.00
23.33,0.00
23.50,10.00
23.67,0.00
23.83,60.00
