Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,10.00
4.67,0.00
4.83,10.00
5.00,50.00
5.17,30.00
5.33,110.00
5.50,120.00
5.67,200.00
5.83,220.00
6.00,330.00
6.17,330.00
6.33,530.00
6.50,560.00
6.67,710.00
6.83,910.00
7.00,960.00
7.17,980.00
7.33,1390.00
7.50,1710.00
7.67,1840.00
7.83,2450.00
8.00,3080.00
8.17,3200.00
8.33,3730.00
8.50,3820.00
8.67,3500.00
8.83,2210.00
9.00,1910.00
9.17,1650.00
9.33,1270.00
9.50,1070.00
9.67,1060.00
9.83,910.00
10.00,770.00
10.17,660.00
10.33,580.00
10.50,580.00
10.67,660.00
10.83,560.00
11.00,650.00
11.17,670.00
11.33,690.00
11.50,600.00
11.67,720.00
11.83,620.00
12.00,600.00
12.17,430.00
12.33,700.00
12.50,620.00
12.67,690.00
12.83,620.00
13.00,780.00
13.17,530.00
13.33,250.00
13.50,530.00
13.67,650.00
13.83,640.00
14.00,830.00
14.17,570.00
14.33,870.00
14.50,710.00
14.67,710.00
14.83,560.00
15.00,470.00
15.17,880.00
15.33,700.00
15.50,1160.00
15.67,1940.00
15.83,2050.00
16.00,2230.00
16.17,2300.00
16.33,2200.00
16.50,2540.00
16.67,2070.00
16.83,2360.00
17.00,1700.00
17.17,2940.00
17.33,3550.00
17.50,3350.00
17.67,3220.00
17.83,2240.00
18.00,1980.00
18.17,2480.00
18.33,1630.00
18.50,1530.00
18.67,1320.00
18.83,640.00
19.00,1140.00
19.17,610.00
19.33,870.00
19.50,370.00
19.67,620.00
19.83,290.00
20.00,630.00
20.17,260.00
20.33,340.00
20.50,180.00
20.67,540.00
20.83,220.00
21.00,220.00
21.17,140.00
21.33,380.00
21.50,160.00
21.67,350.00
21.83,270.00
22.00,200.00
22.17,350.00
22.33,200.00
22.50,290.00
22.67,160.00
22.83,290.00
23.00,110.00
23.17,210.00
23.33,90.00
23.50,100.00
23.67,60.00
23.83,140.00
