Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,0.00
5.33,0.00
5.50,0.00
5.67,0.00
5.83,60.00
6.00,20.00
6.17,20.00
6.33,50.00
6.50,60.00
6.67,30.00
6.83,80.00
7.00,200.00
7.17,160.00
7.33,130.00
7.50,100.00
7.67,70.00
7.83,150.00
8.00,310.00
8.17,200.00
8.33,80.00
8.50,40.00
8.67,130.00
8.83,170.00
9.00,60.00
9.17,180.00
9.33,170.00
9.50,90.00
9.67,20.00
9.83,100.00
10.00,60.00
10.17,20.00
10.33,50.00
10.50,220.00
10.67,300.00
10.83,70.00
11.00,50.00
11.17,50.00
11.33,90.00
11.50,30.00
11.67,170.00
11.83,30.00
12.00,490.00
12.17,20.00
12.33,20.00
12.50,90.00
12.67,80.00
12.83,30.00
13.00,20.00
13.17,40.00
13.33,30.00
13.50,10.00
13.67,50.00
13.83,10.00
14.00,40.00
14.17,110.00
14.33,80.00
14.50,130.00
14.67,70.00
14.83,30.00
15.00,80.00
15.17,70.00
15.33,50.00
15.50,100.00
15.67,200.00
15.83,530.00
16.00,290.00
16.17,330.00
16.33,60.00
16.50,170.00
16.67,890.00
16.83,300.00
17.00,280.00
17.17,440.00
17.33,80.00
17.50,160.00
17.67,550.00
17.83,340.00
18.00,260.00
18.17,140.00
18.33,90.00
18.50,50.00
18.67,50.00
18.83,90.00
19.00,60.00
19.17,60.00
19.33,20.00
19.50,10.00
19.67,0.00
19.83,20.00
20.00,10.00
20.17,10.00
20.33,10.00
20.50,20.00
20.67,20.00
20.83,10.00
21.00,0.00
21.17,0.00
21.33,10.00
21.50,10.00
21.67,0.00
21.83,110.00
22.00,20.00
22.17,10.00
22.33,0.00
22.50,0.00
22.67,0.00
22.83,0.00
23.00,0.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
