Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,0.00
5.33,50.00
5.50,80.00
5.67,60.00
5.83,70.00
6.00,140.00
6.17,190.00
6.33,220.00
6.50,450.00
6.67,360.00
6.83,500.00
7.00,600.00
7.17,710.00
7.33,970.00
7.50,1180.00
7.67,1360.00
7.83,1910.00
8.00,2560.00
8.17,2190.00
8.33,3120.00
8.50,2540.00
8.67,2260.00
8.83,2030.00
9.00,1280.00
9.17,1040.00
9.33,900.00
9.50,740.00
9.67,610.00
9.83,620.00
10.00,500.00
10.17,460.00
10.33,460.00
10.50,500.00
10.67,440.00
10.83,430.00
11.00,450.00
11.17,470.00
11.33,420.00
11.50,510.00
11.67,420.00
11.83,440.00
12.00,480.00
12.17,540.00
12.33,450.00
12.50,490.00
12.67,440.00
12.83,420.00
13.00,470.00
13.17,510.00
13.33,540.00
13.50,590.00
13.67,530.00
13.83,530.00
14.00,450.00
14.17,530.00
14.33,370.00
14.50,670.00
14.67,650.00
14.83,700.00
15.00,700.00
15.17,680.00
15.33,710.00
15.50,1080.00
15.67,1180.00
15.83,930.00
16.00,810.00
16.17,950.00
16.33,1070.00
16.50,1150.00
16.67,1390.00
16.83,1080.00
17.00,1350.00
17.17,1520.00
17.33,2210.00
17.50,1870.00
17.67,2120.00
17.83,1980.00
18.00,1510.00
18.17,1400.00
18.33,1050.00
18.50,990.00
18.67,710.00
18.83,610.00
19.00,480.00
19.17,400.00
19.33,480.00
19.50,290.00
19.67,220.00
19.83,240.00
20.00,240.00
20.17,160.00
20.33,230.00
20.50,120.00
20.67,210.00
20.83,60.00
21.00,200.00
21.17,130.00
21.33,200.00
21.50,160.00
21.67,200.00
21.83,150.00
22.00,170.00
22.17,150.00
22.33,210.00
22.50,90.00
22.67,80.00
22.83,70.00
23.00,70.00
23.17,40.00
23.33,50.00
23.50,40.00
23.67,60.00
23.83,60.00
