Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,20.00
4.83,30.00
5.00,10.00
5.17,20.00
5.33,130.00
5.50,70.00
5.67,110.00
5.83,190.00
6.00,140.00
6.17,380.00
6.33,260.00
6.50,600.00
6.67,370.00
6.83,440.00
7.00,600.00
7.17,420.00
7.33,610.00
7.50,830.00
7.67,490.00
7.83,620.00
8.00,610.00
8.17,680.00
8.33,620.00
8.50,350.00
8.67,680.00
8.83,360.00
9.00,800.00
9.17,280.00
9.33,500.00
9.50,720.00
9.67,320.00
9.83,230.00
10.00,520.00
10.17,200.00
10.33,550.00
10.50,210.00
10.67,320.00
10.83,270.00
11.00,470.00
11.17,180.00
11.33,440.00
11.50,170.00
11.67,440.00
11.83,280.00
12.00,390.00
12.17,160.00
12.33,400.00
12.50,290.00
12.67,280.00
12.83,220.00
13.00,400.00
13.17,250.00
13.33,250.00
13.50,210.00
13.67,390.00
13.83,300.00
14.00,220.00
14.17,470.00
14.33,350.00
14.50,300.00
14.67,340.00
14.83,400.00
15.00,460.00
15.17,430.00
15.33,430.00
15.50,620.00
15.67,630.00
15.83,420.00
16.00,480.00
16.17,600.00
16.33,400.00
16.50,590.00
16.67,410.00
16.83,620.00
17.00,430.00
17.17,690.00
17.33,340.00
17.50,840.00
17.67,480.00
17.83,510.00
18.00,580.00
18.17,430.00
18.33,350.00
18.50,440.00
18.67,350.00
18.83,210.00
19.00,200.00
19.17,180.00
19.33,260.00
19.50,120.00
19.67,170.00
19.83,170.00
20.00,340.00
20.17,90.00
20.33,110.00
20.50,90.00
20.67,260.00
20.83,70.00
21.00,140.00
21.17,40.00
21.33,20.00
21.50,20.00
21.67,30.00
21.83,10.00
22.00,10.00
22.17,0.00
22.33,0.00
22.50,0.00
22.67,20.00
22.83,0.00
23.00,0.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
