Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,10.00
4.83,30.00
5.00,50.00
5.17,40.00
5.33,70.00
5.50,130.00
5.67,170.00
5.83,140.00
6.00,310.00
6.17,330.00
6.33,480.00
6.50,430.00
6.67,720.00
6.83,590.00
7.00,800.00
7.17,970.00
7.33,1140.00
7.50,1580.00
7.67,1430.00
7.83,2270.00
8.00,2030.00
8.17,2920.00
8.33,2340.00
8.50,2010.00
8.67,2240.00
8.83,1410.00
9.00,1250.00
9.17,1010.00
9.33,1000.00
9.50,810.00
9.67,820.00
9.83,550.00
10.00,450.00
10.17,330.00
10.33,500.00
10.50,470.00
10.67,460.00
10.83,370.00
11.00,510.00
11.17,440.00
11.33,410.00
11.50,370.00
11.67,540.00
11.83,430.00
12.00,380.00
12.17,390.00
12.33,540.00
12.50,460.00
12.67,510.00
12.83,410.00
13.00,550.00
13.17,540.00
13.33,610.00
13.50,500.00
13.67,750.00
13.83,580.00
14.00,540.00
14.17,450.00
14.33,760.00
14.50,590.00
14.67,770.00
14.83,660.00
15.00,950.00
15.17,840.00
15.33,1090.00
15.50,1010.00
15.67,1310.00
15.83,1340.00
16.00,1260.00
16.17,1350.00
16.33,1420.00
16.50,1440.00
16.67,1720.00
16.83,1840.00
17.00,1470.00
17.17,1990.00
17.33,1780.00
17.50,2080.00
17.67,1940.00
17.83,1690.00
18.00,1770.00
18.17,1300.00
18.33,1170.00
18.50,920.00
18.67,840.00
18.83,540.00
19.00,490.00
19.17,320.00
19.33,400.00
19.50,250.00
19.67,450.00
19.83,160.00
20.00,290.00
20.17,200.00
20.33,120.00
20.50,270.00
20.67,200.00
20.83,140.00
21.00,90.00
21.17,40.00
21.33,30.00
21.50,40.00
21.67,10.00
21.83,70.00
22.00,70.00
22.17,10.00
22.33,120.00
22.50,110.00
22.67,20.00
22.83,80.00
23.00,60.00
23.17,10.00
23.33,60.00
23.50,50.00
23.67,10.00
23.83,140.00
