Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,60.00
5.00,10.00
5.17,40.00
5.33,60.00
5.50,180.00
5.67,120.00
5.83,260.00
6.00,250.00
6.17,370.00
6.33,420.00
6.50,540.00
6.67,760.00
6.83,640.00
7.00,1120.00
7.17,1180.00
7.33,1260.00
7.50,1720.00
7.67,2240.00
7.83,2100.00
8.00,3310.00
8.17,2440.00
8.33,2820.00
8.50,1760.00
8.67,2150.00
8.83,1870.00
9.00,1080.00
9.17,1240.00
9.33,910.00
9.50,630.00
9.67,810.00
9.83,610.00
10.00,520.00
10.17,540.00
10.33,540.00
10.50,350.00
10.67,640.00
10.83,450.00
11.00,460.00
11.17,520.00
11.33,470.00
11.50,510.00
11.67,450.00
11.83,480.00
12.00,410.00
12.17,470.00
12.33,450.00
12.50,420.00
12.67,450.00
12.83,440.00
13.00,420.00
13.17,530.00
13.33,470.00
13.50,530.00
13.67,540.00
13.83,590.00
14.00,520.00
14.17,440.00
14.33,590.00
14.50,510.00
14.67,600.00
14.83,610.00
15.00,690.00
15.17,680.00
15.33,1150.00
15.50,910.00
15.67,1560.00
15.83,1330.00
16.00,1440.00
16.17,1490.00
16.33,1660.00
16.50,1560.00
16.67,1540.00
16.83,1820.00
17.00,1480.00
17.17,1920.00
17.33,1990.00
17.50,2200.00
17.67,1990.00
17.83,1880.00
18.00,1530.00
18.17,1490.00
18.33,1580.00
18.50,1090.00
18.67,880.00
18.83,860.00
19.00,630.00
19.17,500.00
19.33,330.00
19.50,400.00
19.67,160.00
19.83,250.00
20.00,130.00
20.17,300.00
20.33,150.00
20.50,340.00
20.67,140.00
20.83,360.00
21.00,110.00
21.17,490.00
21.33,160.00
21.50,410.00
21.67,150.00
21.83,340.00
22.00,170.00
22.17,350.00
22.33,100.00
22.50,290.00
22.67,110.00
22.83,200.00
23.00,70.00
23.17,150.00
23.33,40.00
23.50,160.00
23.67,60.00
23.83,200.00
