Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,20.00
4.50,0.00
4.67,10.00
4.83,0.00
5.00,10.00
5.17,90.00
5.33,90.00
5.50,20.00
5.67,100.00
5.83,160.00
6.00,160.00
6.17,150.00
6.33,310.00
6.50,140.00
6.67,500.00
6.83,120.00
7.00,680.00
7.17,270.00
7.33,980.00
7.50,440.00
7.67,660.00
7.83,480.00
8.00,1330.00
8.17,540.00
8.33,640.00
8.50,280.00
8.67,750.00
8.83,430.00
9.00,240.00
9.17,380.00
9.33,490.00
9.50,110.00
9.67,240.00
9.83,220.00
10.00,270.00
10.17,220.00
10.33,100.00
10.50,130.00
10.67,310.00
10.83,210.00
11.00,90.00
11.17,150.00
11.33,280.00
11.50,200.00
11.67,100.00
11.83,230.00
12.00,270.00
12.17,170.00
12.33,110.00
12.50,180.00
12.67,260.00
12.83,150.00
13.00,130.00
13.17,110.00
13.33,300.00
13.50,180.00
13.67,170.00
13.83,160.00
14.00,260.00
14.17,200.00
14.33,180.00
14.50,170.00
14.67,460.00
14.83,130.00
15.00,250.00
15.17,190.00
15.33,520.00
15.50,250.00
15.67,420.00
15.83,320.00
16.00,760.00
16.17,380.00
16.33,480.00
16.50,430.00
16.67,660.00
16.83,350.00
17.00,800.00
17.17,350.00
17.33,850.00
17.50,300.00
17.67,1120.00
17.83,170.00
18.00,810.00
18.17,390.00
18.33,940.00
18.50,190.00
18.67,290.00
18.83,510.00
19.00,220.00
19.17,140.00
19.33,160.00
19.50,280.00
19.67,90.00
19.83,100.00
20.00,70.00
20.17,220.00
20.33,100.00
20.50,10.00
20.67,80.00
20.83,120.00
21.00,30.00
21.17,40.00
21.33,30.00
21.50,150.00
21.67,70.00
21.83,40.00
22.00,20.00
22.17,90.00
22.33,40.00
22.50,30.00
22.67,30.00
22.83,40.00
23.00,10.00
23.17,50.00
23.33,10.00
23.50,30.00
23.67,20.00
23.83,80.00
