Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00
4.50,0.00
4.67,0.00
4.83,0.00
5.00,0.00
5.17,10.00
5.33,30.00
5.50,10.00
5.67,20.00
5.83,10.00
6.00,80.00
6.17,30.00
6.33,110.00
6.50,60.00
6.67,100.00
6.83,140.00
7.00,240.00
7.17,160.00
7.33,240.00
7.50,270.00
7.67,480.00
7.83,560.00
8.00,880.00
8.17,570.00
8.33,780.00
8.50,530.00
8.67,590.00
8.83,630.00
9.00,390.00
9.17,280.00
9.33,290.00
9.50,150.00
9.67,120.00
9.83,90.00
10.00,140.00
10.17,120.00
10.33,260.00
10.50,210.00
10.67,360.00
10.83,60.00
11.00,250.00
11.17,50.00
11.33,170.00
11.50,70.00
11.67,250.00
11.83,50.00
12.00,250.00
12.17,60.00
12.33,220.00
12.50,130.00
12.67,250.00
12.83,100.00
13.00,240.00
13.17,120.00
13.33,330.00
13.50,90.00
13.67,290.00
13.83,60.00
14.00,230.00
14.17,120.00
14.33,350.00
14.50,130.00
14.67,420.00
14.83,170.00
15.00,370.00
15.17,150.00
15.33,500.00
15.50,210.00
15.67,560.00
15.83,290.00
16.00,430.00
16.17,240.00
16.33,570.00
16.50,310.00
16.67,630.00
16.83,440.00
17.00,450.00
17.17,340.00
17.33,790.00
17.50,540.00
17.67,950.00
17.83,620.00
18.00,680.00
18.17,220.00
18.33,290.00
18.50,130.00
18.67,330.00
18.83,170.00
19.00,150.00
19.17,40.00
19.33,160.00
19.50,70.00
19.67,140.00
19.83,50.00
20.00,100.00
20.17,30.00
20.33,40.00
20.50,20.00
20.67,0.00
20.83,0.00
21.00,0.00
21.17,0.00
21.33,0.00
21.50,0.00
21.67,0.00
21.83,0.00
22.00,0.00
22.17,0.00
22.33,0.00
22.50,0.00
22.67,0.00
22.83,0.00
23.00,0.00
23.17,0.00
23.33,0.00
23.50,0.00
23.67,0.00
23.83,0.00
