Time,Movements
3.00,0.00
3.17,0.00
3.33,0.00
3.50,0.00
3.67,0.00
3.83,0.00
4.00,0.00
4.17,0.00
4.33,0.00

// start at 4:30am even though dataset starts at 3am since first train leaves at 4:30
4.50,0.00 
4.67,0.00
4.83,10.00
5.00,0.00
5.17,30.00
5.33,20.00
5.50,20.00
5.67,20.00
5.83,60.00
6.00,60.00
6.17,160.00
6.33,160.00
6.50,220.00
6.67,250.00
6.83,220.00
7.00,300.00
7.17,360.00
7.33,380.00
7.50,530.00
7.67,700.00
7.83,680.00
8.00,730.00
8.17,1000.00
8.33,1210.00
8.50,1190.00
8.67,1070.00
8.83,980.00
9.00,580.00
9.17,470.00
9.33,520.00
9.50,450.00
9.67,390.00
9.83,300.00
10.00,290.00
10.17,270.00
10.33,330.00
10.50,280.00
10.67,280.00
10.83,240.00
11.00,270.00
11.17,310.00
11.33,290.00
11.50,260.00
11.67,220.00
11.83,300.00
12.00,240.00
12.17,300.00
12.33,280.00
12.50,260.00
12.67,260.00
12.83,310.00
13.00,160.00
13.17,350.00
13.33,240.00
13.50,470.00
13.67,300.00
13.83,430.00
14.00,290.00
14.17,580.00
14.33,260.00
14.50,400.00
14.67,280.00
14.83,410.00
15.00,300.00
15.17,420.00
15.33,360.00
15.50,450.00
15.67,400.00
15.83,450.00
16.00,630.00
16.17,710.00
16.33,560.00
16.50,800.00
16.67,640.00
16.83,570.00
17.00,670.00
17.17,660.00
17.33,1070.00
17.50,430.00
17.67,960.00
17.83,570.00
18.00,810.00
18.17,510.00
18.33,330.00
18.50,350.00
18.67,350.00
18.83,220.00
19.00,220.00
19.17,140.00
19.33,90.00
19.50,140.00
19.67,130.00
19.83,190.00
20.00,90.00
20.17,120.00
20.33,80.00
20.50,30.00
20.67,170.00
20.83,120.00
21.00,20.00
21.17,240.00
21.33,210.00
21.50,30.00
21.67,160.00
21.83,190.00
22.00,40.00
22.17,200.00    
22.33,150.00
22.50,30.00
22.67,120.00
22.83,80.00
23.00,0.00
23.17,50.00
23.33,40.00
23.50,0.00
23.67,30.00
23.83,90.00
